Entity,Code,Day,Monthly average
United States,USA,2024-10-15,12.209506
United States,USA,2024-11-15,4.3120155
United States,USA,2024-12-15,0.94223034
United States,USA,2025-01-15,-3.0594468
United States,USA,2025-02-15,-0.6777566
United States,USA,2025-03-15,5.5204263
United States,USA,2025-04-15,9.870058
United States,USA,2025-05-15,14.707499
United States,USA,2025-06-15,20.368093
United States,USA,2025-07-15,22.689156
United States,USA,2025-08-15,21.348618
United States,USA,2025-09-15,17.839615
United States,USA,2025-10-15,11.637465