SE,Semana_epidemiologica,N_populacao,I_t,S_t,I_0
202401,1,6625849,2421,6623428,2421
202402,2,6625849,3010,6622839,2421
202403,3,6625849,3800,6622049,2421
202404,4,6625849,4891,6620958,2421
202405,5,6625849,7982,6617867,2421
202406,6,6625849,10068,6615781,2421
202407,7,6625849,13539,6612310,2421
202408,8,6625849,16339,6609510,2421
202409,9,6625849,14550,6611299,2421
202410,10,6625849,11999,6613850,2421
202411,11,6625849,10154,6615695,2421
202412,12,6625849,7593,6618256,2421
202413,13,6625849,4105,6621744,2421
202414,14,6625849,4413,6621436,2421
202415,15,6625849,3433,6622416,2421
202416,16,6625849,2579,6623270,2421
202417,17,6625849,2040,6623809,2421
202418,18,6625849,1996,6623853,2421
202419,19,6625849,1869,6623980,2421
202420,20,6625849,1611,6624238,2421
202421,21,6625849,1281,6624568,2421
202422,22,6625849,775,6625074,2421
202423,23,6625849,885,6624964,2421
202424,24,6625849,832,6625017,2421
202425,25,6625849,727,6625122,2421
202426,26,6625849,569,6625280,2421
202427,27,6625849,508,6625341,2421
202428,28,6625849,453,6625396,2421
202429,29,6625849,433,6625416,2421
202430,30,6625849,378,6625471,2421
202431,31,6625849,382,6625467,2421
202432,32,6625849,319,6625530,2421
202433,33,6625849,285,6625564,2421
202434,34,6625849,295,6625554,2421
202435,35,6625849,256,6625593,2421
202436,36,6625849,254,6625595,2421
202437,37,6625849,280,6625569,2421
202438,38,6625849,285,6625564,2421
202439,39,6625849,318,6625531,2421
202440,40,6625849,263,6625586,2421
202441,41,6625849,281,6625568,2421
202442,42,6625849,305,6625544,2421
202443,43,6625849,301,6625548,2421
202444,44,6625849,326,6625523,2421
202445,45,6625849,376,6625473,2421
202446,46,6625849,253,6625596,2421
202447,47,6625849,303,6625546,2421
202448,48,6625849,354,6625495,2421
202449,49,6625849,335,6625514,2421
202450,50,6625849,336,6625513,2421
202451,51,6625849,270,6625579,2421
202452,52,6625849,242,6625607,2421
202501,53,6625849,390,6625459,2421